No,username,Date,cleaned_tweets
41,billwhelpley,2020-06-23 23:27:15,TInternet Association whose members include Amazon (AMZN) Google (GOOGL) Facebook (FB) Microsoft (MSFT) Twitte… https://t.co/OVDYJBc90z
42,IliketotweettoU,2020-06-23 23:25:52,Nikki Haley Was A #Boeing BOD Member But Certainly Not For Her Judgement &amp; Brains As Evidenced By This Tweet.… https://t.co/FCx1G3AOR0
43,musicnews360,2020-06-23 23:25:03,95% of Americans want to see the criminal ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc… https://t.co/ofMEQOux6H
44,PZ_Solutions,2020-06-23 23:24:52,repost MSFTDynamics365Find out why 75% of business leaders believe #AI will revolutionize their companies in the ne… https://t.co/vpjb2YXyvN
45,PZ_Solutions,2020-06-23 23:24:52,repost MSFTDynamics365Join gemmamilne for a look at how companies are adapting to a disrupted world and preparing f… https://t.co/Yj6fdwfMaa
46,TechXan_Finance,2020-06-23 23:23:45,Microsoft VPs make the pitches... They Digitally Democratize the value message...A Microsoft executive asked me… https://t.co/fWPMy3VmBL
47,Windows,2020-06-23 23:22:18,@oddparadoxx Hey let's sort this out. Follow these steps to troubleshoot blue screen errors and let us know how it… https://t.co/8Ib20KRvXn
48,Windows,2020-06-23 23:22:17,@raghavpurohit87 We understand your frustration. Check out this thread to learn more about how to remove Edge and… https://t.co/KypVPDlW5W
49,MichaelPayne003,2020-06-23 23:21:38,6/23/2020 Stock Indexes rose once again with Dow up 131 Points Nasdaq up 74 Points S&amp;P500 up 13 Points Vix down… https://t.co/IzjauVdWgg
50,windowsdev,2020-06-23 23:20:00,@darktears Not at all Alexis! Each of our users is very important to us. Would you consider sharing your thoughts… https://t.co/Lwzu8PAF6x
51,DTR_Markets,2020-06-23 23:15:18,More gains for stocks as Nasdaq marches higher. - https://t.co/3dRxuHCYv4#Covid19 #Trump #WallStreet $DOW $DIA… https://t.co/XblWm0rQyx
52,musicnews360,2020-06-23 23:14:43,An 8-year-old girl her mother and her ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusiness… https://t.co/qaCSuV4qOp
53,ErnestMEdsel1,2020-06-23 23:13:19,@SagarYogendra @MarieHyde @Dawnnewyorker Congressman Raja @CongressmanRaja is another Fortune 500 #H1B #S386… https://t.co/WHMD1WRmcM
54,HardcoreGamestm,2020-06-23 23:11:51,@Microsoft @Windows MSFT should also address homelessness and poverty
55,surface,2020-06-23 23:11:12,@MarkhamAllen We appreciate your honesty and feedback Allen. You can keep track of known issues and notifications… https://t.co/hq7nbRTKww
56,saxena_puru,2020-06-23 23:10:08,@MikeySoltis MSFT not so much imo
57,Njabs_MSFT,2020-06-23 23:09:44,@ItsHer_Nessa Thanks. Do you want to check out my cart? 😩
58,MikeySoltis,2020-06-23 23:07:27,@saxena_puru Does this include $MSFT or is that more of a cloud play now? Thanks Puru
59,vanckzhu,2020-06-23 23:07:10,@schaudenfraud I think it's useful to compare consumer staples to $MSFT generally though. $MSFT these days is a def… https://t.co/v4HT4C27ru
60,ederbond,2020-06-23 23:06:03,@maddyleger1 Answered. Not it's your turn @maddyleger1 and @davidortinau ... Does MSFT have any published app of yo… https://t.co/WwEaBUqFEG
61,tradeui,2020-06-23 23:04:00,$MSFT Microsoft Option Alert: Jul 2 $195 Calls Sweep (9) near the midpoint: 593 @ $9.401 vs 7396 OI; Earnings 7/16… https://t.co/dKQ8N6G2aB
62,musicnews360,2020-06-23 23:03:26,Mel Gibson accused of anti-Semitic oven dodger ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc… https://t.co/bo69m2zuMK
63,Synthia_2077,2020-06-23 23:02:53,@msft_fml Dayum!! That makes me no producer mine are probably sh*t f*ck and c**t even worse on a full moon… https://t.co/KTYybk0Uez
64,TheoWerewolf,2020-06-23 23:02:51,@thallanor MSFT is too used to winning by default to be good at marketing. Like... the original name for OneDriv… https://t.co/KiubcClDqQ
